21,4314,Tom,Brady,QB,12,,t,f,https://playible-api-dev.s3.amazonaws.com/media/athlete/nfl/images/4314-tom-brady.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/4314-tom-brady.svg,30
22,13415,Patrick,Peterson,CB,7,,t,f,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/13415-patrick-peterson.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/13415-patrick-peterson.svg,21
23,13730,Dennis,Kelly,OT,73,,t,f,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/13730-dennis-kelly.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/13730-dennis-kelly.svg,14
24,13870,Marvin,Jones Jr.,WR,11,,t,f,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/13870-marvin-jones%20jr..svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/13870-marvin-jones%20jr..svg,15
25,1410,Robbie,Gould,K,9,,t,f,https://playible-api-dev.s3.amazonaws.com/media/athlete/nfl/images/1410-robbie-gould.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/1410-robbie-gould.svg,29
26,8433,Kevin,Huber,P,10,,t,f,https://playible-api-dev.s3.amazonaws.com/media/athlete/nfl/images/8433-kevin-huber.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/8433-kevin-huber.svg,7
27,12902,Cameron,Heyward,DT,97,,t,f,https://playible-api-dev.s3.amazonaws.com/media/athlete/nfl/images/12902-cameron-heyward.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/12902-cameron-heyward.svg,27
28,13393,Robert,Quinn,OLB,94,,t,f,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/13393-robert-quinn.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/13393-robert-quinn.svg,6
29,13810,Demario,Davis,OLB,56,,t,f,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/13810-demario-davis.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/13810-demario-davis.svg,23
36,13337,Mark,Ingram II,RB,5,,t,f,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/13337-mark-ingram%20ii.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/13337-mark-ingram%20ii.svg,23
